direction,seed,component,kind,side,sublayer,layer,train_d_toxic_vs_reference,train_auc_toxic_vs_reference,dev_d_toxic_vs_reference,dev_auc_toxic_vs_reference,dev_d_toxic_vs_generated,dev_auc_toxic_vs_generated,dev_d_copy_vs_ordinary,dev_auc_copy_vs_ordinary,dev_d_template_vs_ordinary,dev_auc_template_vs_ordinary,control_language_max_auc,control_corr_token_count,train_rows_per_cell,dev_rows_per_cell,language_balanced
probe,1337,dec.mlp.L6.n1398,neuron,decoder,mlp,6,-0.043957766,0.4952662731709583,-0.09331981,0.47985571305187213,0.018496882,0.49309048417416046,0.3969398,0.6005704821494295,-0.47770116,0.34819347319347316,0.8730948026215516,0.26036833038438834,122,27,True
probe,1337,dec.mlp.L6.n1399,neuron,decoder,mlp,6,-0.03079323,0.4951625907014244,0.026233615,0.4939457061084862,-0.055087317,0.4720994428356111,0.61013573,0.6922156790577844,-0.0875518,0.462995337995338,0.6595793324188386,-0.028462989104655795,122,27,True
probe,1337,dec.mlp.L6.n1400,neuron,decoder,mlp,6,-0.08918519,0.4671600293296969,-0.058486883,0.472370404240546,-0.038236212,0.4827770156988264,-0.0978196,0.43099006256900996,-0.28131074,0.3531468531468531,0.736892242036275,-0.03804417663853722,122,27,True
probe,1337,dec.mlp.L6.n1401,neuron,decoder,mlp,6,-0.09714574,0.46464344842916916,-0.07442072,0.476739656895121,-0.13818213,0.4549103287100543,0.09707435,0.5244755244755245,-0.6650693,0.24067599067599071,0.9445587562871514,-0.026438333191032278,122,27,True
probe,1337,dec.mlp.L6.n1402,neuron,decoder,mlp,6,-0.23878205,0.44615644938138893,-0.28528738,0.44129451811207643,-0.16464695,0.4795170112957036,-0.4284417,0.3844313581155686,1.550571,0.8965617715617715,0.9760135650053345,-0.1906968470675902,122,27,True
probe,1337,dec.mlp.L6.n1403,neuron,decoder,mlp,6,0.24000221,0.5538966360430125,0.13643217,0.5215160290606107,0.3663741,0.5334891361411709,-0.0112445885,0.5075450864924549,-0.33848456,0.41666666666666663,0.7550868770004573,0.15502656384383362,122,27,True
probe,1337,dec.mlp.L6.n1404,neuron,decoder,mlp,6,-0.1110756,0.45589430692001687,-0.07677543,0.46601974631238463,-0.055998407,0.4780944639197954,0.0019805864,0.4983437615016562,0.13418277,0.5189393939393939,0.6761164456637707,-0.036162106765000826,122,27,True
probe,1337,dec.mlp.L6.n1405,neuron,decoder,mlp,6,-0.08651446,0.4674835186346429,-0.07404258,0.47333570424562654,-0.05535559,0.48028755779098714,-0.13710096,0.4603422892896577,0.46232584,0.6194638694638694,0.7011126352690139,-0.2320911752352497,122,27,True
probe,1337,dec.mlp.L6.n1406,neuron,decoder,mlp,6,0.12618034,0.5452337583485125,0.12871145,0.5492557028908195,0.07984748,0.5234042913512507,-0.0064441375,0.4726720647773279,-0.23863192,0.4251165501165501,0.6591411370217954,-0.05378433963684225,122,27,True
probe,1337,dec.mlp.L6.n1407,neuron,decoder,mlp,6,-0.021019446,0.5040967017362251,0.066315934,0.5033108096665481,0.040411077,0.5080187640772917,0.039461255,0.5249355907250645,-0.15582214,0.40588578088578087,0.8313328760859625,0.052644669112556844,122,27,True
