component,kind,side,sublayer,layer,train_d,dev_d_tox_ref,dev_d_tox_gen,dev_d_copy,dev_d_template,lang_auc,len_corr,n_seeds,direction,contrast,rank
enc.mlp.L6.n766,neuron,encoder,mlp,6,0.08512353,0.12964499,0.0061468505,0.61335653,-0.5550495,0.8049712950261646,0.16689499644068975,3,mean_diff,copy_vs_ordinary,1
dec.mlp.L6.n230,neuron,decoder,mlp,6,0.097086586,-0.010795408,-0.021952853,-0.57454216,0.4456204,0.7330945485952345,-0.2860188798424144,3,mean_diff,copy_vs_ordinary,2
dec.mlp.L6.n2043,neuron,decoder,mlp,6,-0.15799041,-0.22186951,0.1571418,-0.5724745,0.78151006,0.842884722857288,-0.19235026347241516,3,mean_diff,copy_vs_ordinary,3
dec.mlp.L6.n404,neuron,decoder,mlp,6,-0.1579652,-0.12751402,-0.15188973,0.57138115,-1.0446484,0.8652263374485596,0.38747861896508046,3,mean_diff,copy_vs_ordinary,4
dec.mlp.L4.n248,neuron,decoder,mlp,4,-0.20134418,-0.13852678,-0.10952877,0.51499766,-0.32266733,0.7220253518264492,0.21639055559160458,3,mean_diff,copy_vs_ordinary,5
enc.mlp.L6.n1042,neuron,encoder,mlp,6,-0.15945649,-0.17113836,-0.035136286,-0.5141566,0.22193271,0.7951658791850836,-0.056764966210096045,3,mean_diff,copy_vs_ordinary,6
enc.mlp.L8.n1973,neuron,encoder,mlp,8,-0.3185227,-0.35052133,-0.23692553,0.5124589,-0.7695618,0.7926256160138191,0.18953810782760439,3,mean_diff,copy_vs_ordinary,7
dec.mlp.L6.n893,neuron,decoder,mlp,6,0.24875654,0.29909322,0.14695354,0.5095754,-0.9984579,0.9308476858202509,0.3209761690774589,3,mean_diff,copy_vs_ordinary,8
enc.mlp.L4.n1743,neuron,encoder,mlp,4,0.0379294,-0.029901745,-0.118499756,0.49372074,-0.78944796,0.8168597266676828,0.2912197017035693,3,mean_diff,copy_vs_ordinary,9
enc.mlp.L6.n176,neuron,encoder,mlp,6,0.19458973,0.16869044,-0.039526116,0.49198496,-1.0593857,0.8885904079662653,0.17592538791495585,3,mean_diff,copy_vs_ordinary,10
enc.mlp.L8.n307,neuron,encoder,mlp,8,-0.088118464,-0.16513841,-0.0143516585,-0.49016562,0.5603287,0.7823756541177666,-0.18086532377185335,3,mean_diff,copy_vs_ordinary,11
dec.mlp.L6.n788,neuron,decoder,mlp,6,0.08629155,0.10412023,0.108345754,-0.4898552,1.7111344,0.9539259767311893,-0.41217779399410154,3,mean_diff,copy_vs_ordinary,12
dec.mlp.L6.n806,neuron,decoder,mlp,6,0.38963687,0.46342635,0.19012363,0.48738277,-1.161147,0.8851547020271301,0.18967247088655445,3,mean_diff,copy_vs_ordinary,13
enc.mlp.L8.n1821,neuron,encoder,mlp,8,-0.2350138,-0.17059068,-0.14968283,0.4824237,-0.77915883,0.6803459838439262,0.22072713725221724,3,mean_diff,copy_vs_ordinary,14
enc.mlp.L8.n274,neuron,encoder,mlp,8,0.16215272,0.15612267,0.28469202,-0.48212743,2.2107534,0.8989800843367374,-0.19144509594726222,3,mean_diff,copy_vs_ordinary,15
dec.mlp.L6.n1399,neuron,decoder,mlp,6,0.07498153,0.010352167,0.15280761,-0.4802983,0.047566395,0.6858583549255703,0.06406136616223801,3,mean_diff,copy_vs_ordinary,16
dec.mlp.L6.n1398,neuron,decoder,mlp,6,-0.062185887,-0.10504544,0.00036317235,0.47888067,-0.5131315,0.8725168927500889,0.2301323603980776,3,mean_diff,copy_vs_ordinary,17
dec.mlp.L6.n1018,neuron,decoder,mlp,6,-0.684838,-0.59024185,-0.57337624,0.47867313,-1.3854233,0.7737768632830361,-0.002087281938153112,3,mean_diff,copy_vs_ordinary,18
dec.mlp.L4.n1333,neuron,decoder,mlp,4,-0.10850889,-0.09507846,-0.095128976,-0.47787476,-0.31518963,0.7871386475638876,0.011464683747927551,3,mean_diff,copy_vs_ordinary,19
enc.mlp.L6.n241,neuron,encoder,mlp,6,-0.015010172,0.006676735,0.09175804,-0.47682866,1.207799,0.8863676776914088,-0.331060951565843,3,mean_diff,copy_vs_ordinary,20
enc.mlp.L6.n58,neuron,encoder,mlp,6,-0.01693852,-0.067899294,-0.20366253,0.47669134,-1.6768155,0.8844878829446731,0.21850035912144347,3,mean_diff,copy_vs_ordinary,21
dec.mlp.L4.n1321,neuron,decoder,mlp,4,-0.13807157,-0.1885498,-0.013820723,-0.47497344,0.8328476,0.789005740994767,-0.28195099747261154,3,mean_diff,copy_vs_ordinary,22
enc.mlp.L8.n1423,neuron,encoder,mlp,8,0.089375675,0.019120099,0.1828711,-0.4739513,1.3233664,0.9061499771376315,-0.035871887950586975,3,mean_diff,copy_vs_ordinary,23
enc.mlp.L6.n1787,neuron,encoder,mlp,6,-0.21461822,-0.28981236,-0.22531968,0.47374985,-0.9876656,0.8557638571355993,0.1351490896656313,3,mean_diff,copy_vs_ordinary,24
enc.mlp.L6.n285,neuron,encoder,mlp,6,-0.019115306,-0.022340225,-0.11980736,0.4730824,-1.1286514,0.8778260427780319,0.17501348107927417,3,mean_diff,copy_vs_ordinary,25
dec.cross.L2.head1,head,decoder,cross,2,1.2573175,1.2611299,0.7729055,-0.2912322,2.2531264,0.6595475791291977,0.10701430643761138,3,mean_diff,template_vs_ordinary,1
dec.cross.L5.head7,head,decoder,cross,5,1.284195,1.2780514,0.7479586,-0.28518763,2.2319078,0.6562960422699792,0.0579637182264802,3,mean_diff,template_vs_ordinary,2
dec.cross.L0.head9,head,decoder,cross,0,1.2095184,1.2237622,0.75601536,-0.26168668,2.1045287,0.6912754661382919,0.15186295648736944,3,mean_diff,template_vs_ordinary,3
dec.cross.L2.head5,head,decoder,cross,2,-0.5515227,-0.54255116,-0.36033297,0.3986988,-2.0656402,0.9164761469288217,-0.008210923008230448,3,mean_diff,template_vs_ordinary,4
dec.self.L2.head2,head,decoder,self,2,-0.3189521,-0.25628832,-0.37124017,0.4095507,-2.0571864,0.755868007925621,-0.007715302874800457,3,mean_diff,template_vs_ordinary,5
dec.cross.L6.head9,head,decoder,cross,6,1.0174879,1.0439534,0.63091326,-0.16754265,1.981958,0.6498945790783925,-0.19928911838220364,3,mean_diff,template_vs_ordinary,6
dec.self.L3.head10,head,decoder,self,3,-0.63830096,-0.6435604,-0.5943671,0.28300002,-1.9661736,0.6421340750901793,-0.038794587418434986,3,mean_diff,template_vs_ordinary,7
dec.self.L1.head11,head,decoder,self,1,-0.7299164,-0.6864834,-0.59931237,0.35176304,-1.9547514,0.6927234161459127,-0.13928252351877943,3,mean_diff,template_vs_ordinary,8
enc.self.L10.head4,head,encoder,self,10,-0.47150972,-0.47303662,-0.34486333,0.28026664,-1.9244722,0.8723898795915256,0.4924025463890245,3,mean_diff,template_vs_ordinary,9
dec.cross.L3.head9,head,decoder,cross,3,0.60518736,0.6098227,0.4679003,-0.3162069,1.8529973,0.8051173601585124,-0.06171595675834551,3,mean_diff,template_vs_ordinary,10
dec.cross.L1.head7,head,decoder,cross,1,-0.13938385,-0.08762115,-0.1887324,0.26534688,-1.8394299,0.9390209825737946,0.3652936770325836,3,mean_diff,template_vs_ordinary,11
dec.self.L1.head10,head,decoder,self,1,-0.29210594,-0.22886129,-0.3740301,0.3958558,-1.8376495,0.8083815983335874,-0.12023952398705252,3,mean_diff,template_vs_ordinary,12
dec.cross.L6.head0,head,decoder,cross,6,-0.18724482,-0.17507178,-0.09660924,0.27856937,-1.774089,0.9761151755321852,0.04668872250481874,3,mean_diff,template_vs_ordinary,13
dec.self.L1.head2,head,decoder,self,1,-0.4355851,-0.39417395,-0.45580783,0.35223445,-1.7476448,0.7710016257684297,-0.35192241329170404,3,mean_diff,template_vs_ordinary,14
dec.self.L1.head7,head,decoder,self,1,-0.72581774,-0.6684125,-0.59030145,0.21993272,-1.7422737,0.7131598333587359,-0.19220162678486327,3,mean_diff,template_vs_ordinary,15
dec.cross.L6.head7,head,decoder,cross,6,0.3286226,0.38733402,0.0761491,0.47015408,-1.7376505,0.9628359498043997,0.43759326609046695,3,mean_diff,template_vs_ordinary,16
dec.cross.L6.head2,head,decoder,cross,6,-0.095703125,-0.09951875,0.066373564,-0.45612058,1.7306134,0.9378842148046537,-0.02649820677346172,3,mean_diff,template_vs_ordinary,17
enc.self.L11.head3,head,encoder,self,11,-0.04589529,-0.07605506,0.101525836,-0.46713337,1.7162685,0.9124117258547986,-0.442937107547638,3,mean_diff,template_vs_ordinary,18
dec.cross.L0.head10,head,decoder,cross,0,-0.61481506,-0.6046331,-0.4870824,0.3667744,-1.7073383,0.7366953716405019,0.031046321610716163,3,mean_diff,template_vs_ordinary,19
dec.cross.L2.head9,head,decoder,cross,2,-0.29923904,-0.23082346,-0.3311906,0.3348113,-1.6992141,0.7567126454300666,0.06414712986729816,3,mean_diff,template_vs_ordinary,20
dec.cross.L2.head0,head,decoder,cross,2,-0.8165479,-0.94823986,-0.3336785,-0.34438977,1.691013,0.9122148554590256,-0.3803174111709448,3,mean_diff,template_vs_ordinary,21
dec.cross.L2.head6,head,decoder,cross,2,-0.08059016,-0.15885659,0.0853793,-0.4080757,1.6906266,0.9600226083422242,-0.23634513110116936,3,mean_diff,template_vs_ordinary,22
enc.self.L9.head3,head,encoder,self,9,-0.20648293,-0.2244885,0.009632742,-0.23184814,1.6814836,0.9322829345120155,-0.35714920915130954,3,mean_diff,template_vs_ordinary,23
dec.cross.L0.head6,head,decoder,cross,0,-0.38187733,-0.33855823,-0.4162368,0.2793228,-1.6800808,0.823718437230097,0.006081741075316323,3,mean_diff,template_vs_ordinary,24
dec.self.L1.head3,head,decoder,self,1,-0.6276099,-0.60374224,-0.5676643,0.3594207,-1.6606635,0.7163288116648885,-0.3285733877094411,3,mean_diff,template_vs_ordinary,25
enc.mlp.L8.n54,neuron,encoder,mlp,8,-0.35868344,-0.37749448,-0.4011831,0.2657487,-2.4348257,0.8104328608443835,0.18826675538602078,3,mean_diff,template_vs_ordinary,1
dec.mlp.L6.n234,neuron,decoder,mlp,6,0.22794692,0.25832123,0.07019394,0.30137467,-2.2377608,0.9661192399532591,0.2607908819182899,3,mean_diff,template_vs_ordinary,2
enc.mlp.L8.n2037,neuron,encoder,mlp,8,-0.55731887,-0.5691754,-0.44990388,0.34491894,-2.2309108,0.8451455570797135,0.24232663463997461,3,mean_diff,template_vs_ordinary,3
enc.mlp.L8.n1093,neuron,encoder,mlp,8,-0.46670246,-0.5628255,-0.4260303,0.3062391,-2.2126923,0.8290720418635371,0.18121835892767682,3,mean_diff,template_vs_ordinary,4
enc.mlp.L8.n274,neuron,encoder,mlp,8,0.16215272,0.15612267,0.28469202,-0.48212743,2.2107534,0.8989800843367374,-0.19144509594726222,3,mean_diff,template_vs_ordinary,5
enc.mlp.L8.n1046,neuron,encoder,mlp,8,-0.60934395,-0.61331683,-0.48191366,0.35409772,-2.1965363,0.7551884875273078,0.18904664187536543,3,mean_diff,template_vs_ordinary,6
dec.mlp.L6.n1522,neuron,decoder,mlp,6,0.048760924,0.04284674,0.073539935,-0.3273958,2.1791809,0.9400751917898694,-0.3307657458992306,3,mean_diff,template_vs_ordinary,7
dec.mlp.L6.n1392,neuron,decoder,mlp,6,-0.048795063,-0.040697034,-0.014645174,0.045779902,-2.1789083,0.9583079307016207,0.13378374638026794,3,mean_diff,template_vs_ordinary,8
dec.mlp.L6.n1731,neuron,decoder,mlp,6,-0.035706032,-0.02715323,0.014506765,-0.32082203,2.1769533,0.9890006604684246,-0.2991560182459215,3,mean_diff,template_vs_ordinary,9
dec.mlp.L4.n552,neuron,decoder,mlp,4,0.4961419,0.46486363,0.3891178,-0.24266018,2.1415472,0.8181425595691714,-0.2557802199291215,3,mean_diff,template_vs_ordinary,10
enc.mlp.L8.n1069,neuron,encoder,mlp,8,-0.46766028,-0.4895289,-0.42986903,0.31072542,-2.1386464,0.8527726972514352,0.31180732872638695,3,mean_diff,template_vs_ordinary,11
enc.mlp.L6.n1944,neuron,encoder,mlp,6,0.60457253,0.6205376,0.4885237,-0.32590535,2.127456,0.8369278057206726,-0.1657763915146649,3,mean_diff,template_vs_ordinary,12
enc.mlp.L8.n237,neuron,encoder,mlp,8,0.6754921,0.67153335,0.49220455,-0.22209537,2.0999272,0.7584590763603108,-0.27338424176364784,3,mean_diff,template_vs_ordinary,13
enc.mlp.L8.n1890,neuron,encoder,mlp,8,0.098605804,0.09651792,-0.12578206,0.32590702,-2.0306504,0.9450414062896916,0.20800858458853366,3,mean_diff,template_vs_ordinary,14
enc.mlp.L6.n430,neuron,encoder,mlp,6,-0.47763586,-0.48738444,-0.43302584,0.30821565,-2.0289328,0.7077490728039425,0.126823358568662,3,mean_diff,template_vs_ordinary,15
enc.mlp.L8.n1700,neuron,encoder,mlp,8,0.5546065,0.58500296,0.46369585,-0.24336584,2.0262926,0.854538180155464,-0.14730313326989164,3,mean_diff,template_vs_ordinary,16
enc.mlp.L8.n1357,neuron,encoder,mlp,8,-0.04271804,-0.05942348,-0.17148286,0.31021038,-2.0158694,0.9321368693796677,0.11132929722525044,3,mean_diff,template_vs_ordinary,17
dec.mlp.L6.n717,neuron,decoder,mlp,6,-0.058045,-0.06408661,-0.045393284,-0.30852547,2.0104177,0.9816084946400446,-0.2791360118687121,3,mean_diff,template_vs_ordinary,18
enc.mlp.L8.n358,neuron,encoder,mlp,8,-0.31372818,-0.30091116,-0.36439428,0.4193249,-2.0073307,0.8269318701417467,0.21839731552437072,3,mean_diff,template_vs_ordinary,19
enc.mlp.L4.n239,neuron,encoder,mlp,4,-0.43781793,-0.481995,-0.39698935,0.2953299,-1.9940715,0.7880213890159021,0.08645487210482287,3,mean_diff,template_vs_ordinary,20
dec.mlp.L6.n219,neuron,decoder,mlp,6,-0.010227318,-0.016328065,0.025814591,-0.15265852,1.9860018,0.9750990702636794,-0.1600110399889114,3,mean_diff,template_vs_ordinary,21
enc.mlp.L8.n2013,neuron,encoder,mlp,8,0.39430168,0.41991583,0.35996222,-0.25302786,1.9711142,0.8789755118630289,-0.17615269554210208,3,mean_diff,template_vs_ordinary,22
dec.mlp.L6.n1346,neuron,decoder,mlp,6,-0.02094313,0.030085437,-0.021824175,-0.29766342,1.9570813,0.9544403800233704,-0.25765024809234965,3,mean_diff,template_vs_ordinary,23
enc.mlp.L6.n839,neuron,encoder,mlp,6,-0.65745276,-0.65238637,-0.45893487,0.25209737,-1.9489564,0.7630696540161561,0.18001601934822822,3,mean_diff,template_vs_ordinary,24
enc.mlp.L8.n1732,neuron,encoder,mlp,8,0.30183008,0.3818194,0.34228742,-0.26724944,1.9368315,0.8130556825687142,-0.21289400411944814,3,mean_diff,template_vs_ordinary,25
