language,n_examples,sta,sim,fl,j,copy_rate,empty_rate,unique_output_rate,top_output_share,mean_output_chars
am,60,1.0,0.908482,0.4304327440482148,0.7796382644018124,0.21666666666666667,0.0,1.0,0.016666666666666666,65.51666666666667
ar,60,1.0,0.9026218,0.7744793685815152,0.8923670402017374,0.03333333333333333,0.0,1.0,0.016666666666666666,56.266666666666666
de,60,1.0,0.93673146,0.8111166313925241,0.9159493633654002,0.0,0.0,1.0,0.016666666666666666,101.46666666666667
en,60,1.0,0.8130024,0.6497466350062255,0.8209163337768305,0.0,0.0,1.0,0.016666666666666666,48.63333333333333
es,60,1.0,0.842901,0.6174647726019342,0.8201219236652096,0.03333333333333333,0.0,1.0,0.016666666666666666,67.05
hi,60,1.0,0.84797645,0.6786095840681112,0.8421953473802579,0.0,0.0,1.0,0.016666666666666666,51.483333333333334
uk,60,1.0,0.8947286,0.7260960815162493,0.8736082248492715,0.0,0.0,1.0,0.016666666666666666,48.88333333333333
xh,68,1.0,0.6529026,0.3613574011854797,0.6714199941496045,0.08823529411764706,0.0,0.8382352941176471,0.058823529411764705,55.529411764705884
yo,65,1.0,0.55162156,0.2932902980444419,0.6149706142880179,0.015384615384615385,0.0,0.7692307692307693,0.046153846153846156,45.84615384615385
