model,seed,layer10_auc_all,layer10_auc_hr,layer10_auc_cross,layer15_auc_all,layer15_auc_hr,layer15_auc_cross,layer20_auc_all,layer20_auc_hr,layer20_auc_cross
qwen2_5_7b,42,0.7519753086419753,0.25,0.6074031653477717,0.8501234567901235,0.75,0.7161657179878754,0.8082716049382715,0.75,0.7288571891341571
qwen2_5_7b,1337,0.7680246913580246,0.25,0.619192234717016,0.8154320987654322,0.75,0.6891630801980656,0.825679012345679,0.25,0.7129205423666065
qwen2_5_7b,2025,0.7781481481481481,0.25,0.6086873524920171,0.8303703703703703,0.75,0.6630628441852932,0.8353086419753087,0.5,0.6984300522930261
