stage,split,intervention,family,n_seeds,delta_sta_mean,delta_sim_mean,delta_fl_mean,delta_j_mean,effect_size_sta_mean,effect_size_sim_mean,effect_size_j_mean,delta_sta_sd,delta_sim_sd,delta_j_sd
stage11_ablation,dev,language_detectors,ablation_primary,3,-0.0009649875795414478,0.0039760818436214,-0.002133713584253465,-0.004947036704797537,-0.0061743337570635964,0.06191470884851546,-0.03196166920881511,0.020263675181320127,0.0031413031156261265,0.017206627935768562
stage11_ablation,dev,random_heads_matched,ablation_random_control,3,-0.012492056363738976,-0.0073332663909465015,-0.00520789890725246,-0.020747933697896515,-0.04310947262574338,-0.1110160814032718,-0.11033109657648754,0.016553225702529335,0.002692258231909523,0.018089798057690863
stage11_ablation,dev,random_neurons_matched,ablation_random_control,3,0.0029344991393474434,-0.00034584120082304363,0.00029207841381656443,0.000945110714722692,0.006898538470341105,-0.03763351274330128,0.010599067128768852,0.007261637074636509,0.0024851157401550574,0.0033014245396210977
stage11_ablation,dev,sae_replicated_features,ablation_sae_control,3,0.009191343882539683,-0.0010970131179698216,-0.0003457014889904767,0.004439939649553917,0.04740194706863616,-0.019303387052246383,0.032767217961581996,0.0005254087853127001,0.006663969962504591,0.002767502841634937
stage11_ablation,dev,top_decoder_cross_heads,ablation_primary,3,0.17483251188262786,-0.06885147952674897,-0.028089973624544618,0.06590518136244822,0.41841350510339126,-0.543218309629697,0.24011897976654098,0.03560841455168459,0.005443236212739919,0.030428521080850986
stage11_ablation,dev,top_decoder_mlp_neurons,ablation_primary,3,-0.0030511811072310414,0.002250561626200275,0.00026141349411341826,-0.004024661970223561,-0.01593973568708801,0.04880487843552725,-0.030100439288800934,0.009874191026183816,0.0009680540957944344,0.0049985521695616545
stage11_ablation,dev,top_decoder_self_heads,ablation_primary,3,0.048354042340776025,-0.013085304759945128,-0.0006325628250730348,0.02313859563888991,0.17235503646124817,-0.16856564145453412,0.1173679723035731,0.0186963387811317,0.0039769919214652375,0.01571935048569617
stage11_ablation,dev,top_encoder_components,ablation_primary,3,0.03340947823938272,-0.021321507069958848,-0.0015837418209927185,0.02264903744027832,0.14430113088713356,-0.20529342498683514,0.12968210755701906,0.023801373422019028,0.005902216534835939,0.01701617213113944
stage11_ablation,dev,top_mean_diff_direction,ablation_primary,3,0.11185983733857142,-0.04313467539368999,-0.02276530644053093,0.04383563578408556,0.3126078929278055,-0.38193922198241287,0.17343925817069838,0.02070344937055448,0.009023035082859288,0.01674465364306287
stage11_ablation,dev,top_probe_direction,ablation_primary,3,0.1575365972078307,-0.062375928319615914,-0.02996719623211198,0.0582706379419749,0.3907780850416567,-0.4924820462894514,0.21292908474481745,0.021477494677672147,0.005882597885571088,0.015520620392137386
