seed,side,layer,feature,auc_toxic_vs_reference_train,auc_toxic_vs_reference_dev,auc_copy_vs_ordinary_dev,auc_template_vs_ordinary_dev,corr_token_count_dev,corr_sequence_length_dev,auc_language_max_dev,n_languages_active_dev,auc_toxic_vs_generated_dev,candidate_cross_lingual,label
42,encoder,6,1750,0.3948597549444096,0.3329438263137395,0.5367436448263516,0.40080971659919035,0.02836338007448748,0.02836338007448748,0.6802126200274349,9,0.40999847584209725,True,candidate (associative; causal status untested -- Stage 11)
42,encoder,6,1291,0.4200268081393227,0.36640755982319767,0.43613498030791265,0.19086176980913824,-0.13880114578785405,-0.13880114578785405,0.7763203017832647,9,0.44194651899270104,False,not a candidate
42,encoder,6,577,0.445878995092916,0.3859591186980304,0.5261367704976728,0.3504916136495084,0.32839420088569254,0.32839420088569254,0.8392061042524006,9,0.4771630340903318,False,not a candidate
42,encoder,6,1275,0.41849935799814864,0.3874240037934597,0.5244360902255639,0.18739155581260847,0.38160954933842456,0.38160954933842456,0.7871227709190672,9,0.4471371234059848,False,not a candidate
42,encoder,6,1534,0.43141943789171244,0.39152229504309977,0.46128714643752233,0.1766917293233083,-0.0077344965204892546,-0.0077344965204892546,0.6892575445816186,7,0.4546563023929279,False,not a candidate
42,encoder,6,646,0.36403827459099336,0.3948669748852648,0.4832169709989259,0.2849913244650087,0.19362809889664348,0.19362809889664348,0.8401277434842249,9,0.43504547071076566,False,not a candidate
42,encoder,6,1383,0.42795312557025356,0.403376856509001,0.5411743644826352,0.19144013880855992,0.0738923279479106,0.0738923279479106,0.7542009602194788,9,0.4645209910413385,False,not a candidate
42,encoder,6,2263,0.4482180716056018,0.40359701265051057,0.5355352667382742,0.25795257374204744,0.37688296031818447,0.37688296031818447,0.8237740054869684,9,0.4469169672644753,False,not a candidate
42,encoder,6,2859,0.4361913198695425,0.4046893258141543,0.48071070533476545,0.31217466743782535,-0.0021704454322688327,-0.0021704454322688327,0.7429483882030179,9,0.48469068062117904,False,not a candidate
42,encoder,6,1677,0.4504036980633773,0.40536672932649154,0.5251521661296097,0.2724117987275882,0.21354463645985441,0.21354463645985441,0.6618227023319616,9,0.49903469999491945,False,not a candidate
42,encoder,6,608,0.5452287815899748,0.5927196057511558,0.5377730039384174,0.48698669751301327,-0.11195924044261166,-0.11195924044261166,0.6548782578875172,9,0.5426425511016275,False,not a candidate
42,encoder,6,1650,0.43311485363353136,0.40815255127097827,0.5166040100250626,0.12984384037015617,0.17948536262378356,0.17948536262378356,0.668252743484225,8,0.4546563023929279,False,not a candidate
42,encoder,6,1202,0.44301487055451044,0.408846889871124,0.5174543501611171,0.5534991324465008,-0.05740490297132048,-0.05740490297132048,0.6877143347050754,9,0.42640857592846615,False,not a candidate
42,encoder,6,1322,0.44163589370970896,0.4115395688326644,0.5058181167203724,0.37478311162521694,0.0793643774665141,0.0793643774665141,0.8653763717421125,9,0.4275770969872479,False,not a candidate
42,encoder,6,2087,0.4376055487539855,0.41348710393063387,0.44557823129251706,0.1766917293233083,-0.1556900442125362,-0.1556900442125362,0.8003686556927299,7,0.46684956561499774,False,not a candidate
42,encoder,6,1316,0.5414771351123586,0.5858354925570289,0.5508413891872538,0.391844997108155,-0.2901129623339482,-0.2901129623339482,0.7859653635116598,9,0.5466307642805128,False,not a candidate
42,encoder,6,388,0.44336531730153517,0.4144862741113312,0.5093537414965987,0.42813765182186236,0.03682662247701062,0.03682662247701062,0.8957475994513032,9,0.46742535860048434,False,not a candidate
42,encoder,6,1440,0.4572911171495781,0.41480804077969147,0.4568564267812389,0.2683632157316368,-0.10829193471204601,-0.10829193471204601,0.874014060356653,9,0.4455960304154176,False,not a candidate
42,encoder,6,2935,0.4706844038340948,0.4198377618587953,0.5397869674185464,0.3548293811451706,0.24663282121741084,0.24663282121741084,0.6850780178326474,9,0.45347931379024203,False,not a candidate
42,encoder,6,1969,0.5369258894296967,0.5798235363850361,0.5741138560687433,0.2679294389820706,-0.030198365468754422,-0.030198365468754422,0.7069615912208504,9,0.5460634388389303,False,not a candidate
42,encoder,6,3043,0.46947588096920717,0.42097241274196007,0.4671500179018976,0.3065355696934644,0.29274845647068043,0.29274845647068043,0.7495284636488341,9,0.47872106216870736,False,not a candidate
42,encoder,6,166,0.4343743882734297,0.42210706362512485,0.559702828499821,0.11191440138808562,-0.058489906291675775,-0.058489906291675775,0.9353566529492456,9,0.48845873765855474,False,not a candidate
42,encoder,6,2123,0.5181937850239382,0.5756998425036834,0.5039831722162549,0.35208212839791786,-0.048503961053651436,-0.048503961053651436,0.8963906035665296,9,0.5732527223153652,False,not a candidate
42,encoder,6,1771,0.45664579745919887,0.4244017680231672,0.6154672395273899,0.3108733371891267,0.005930887040156475,0.005930887040156475,0.7909807956104252,9,0.48913614117089194,False,not a candidate
42,encoder,6,2653,0.45487158304053404,0.4250876390794086,0.5076083064804869,0.6185656448814344,-0.04661600152979602,-0.04661600152979602,0.7161351165980796,9,0.44422428830293487,False,not a candidate
42,decoder,6,2997,0.7624663654068832,0.836551000016935,0.49713569638381677,0.5231347599768652,-0.0777881718816922,-0.0777881718816922,0.6272719478737997,9,0.619570187471422,True,candidate (associative; causal status untested -- Stage 11)
42,decoder,6,726,0.3977748912578259,0.326432285051398,0.5192445399212315,0.5561017929438983,-0.4591501749994519,-0.4591501749994519,0.6290509259259259,9,0.39573913190739896,False,not a candidate
42,decoder,6,1948,0.6224713919330062,0.6672001219326322,0.4735051915503043,0.7622903412377096,-0.19296977802281032,-0.19296977802281032,0.8199159807956105,9,0.5695270029975107,True,candidate (associative; causal status untested -- Stage 11)
