seed,side,layer,contrast,source,target,transfer_type,n_train,n_dev,dev_accuracy,dev_auc,fit_split
42,encoder,8,toxic_vs_detox_reference,EN_DE_ES,xh,cross_language,732,54,0.5555555555555556,0.6200274348422496,
42,encoder,8,toxic_vs_detox_reference,all_non_african,yo,cross_language,1708,54,0.5,0.4622770919067215,
42,encoder,8,toxic_vs_detox_reference,all_non_african,xh,cross_language,1708,54,0.5555555555555556,0.7764060356652949,
42,encoder,8,toxic_vs_detox_reference,YO_XH,am,cross_language,488,54,0.6481481481481481,0.6611796982167352,
42,encoder,8,toxic_vs_detox_reference,YO_XH,ar,cross_language,488,54,0.5555555555555556,0.5226337448559671,
42,encoder,8,toxic_vs_detox_reference,YO_XH,de,cross_language,488,54,0.5,0.4897119341563786,
42,encoder,8,toxic_vs_detox_reference,YO_XH,en,cross_language,488,54,0.6851851851851852,0.7791495198902606,
42,encoder,8,toxic_vs_detox_reference,YO_XH,es,cross_language,488,54,0.5555555555555556,0.6104252400548696,
42,encoder,8,toxic_vs_detox_reference,YO_XH,hi,cross_language,488,54,0.6481481481481481,0.7050754458161865,
42,encoder,8,toxic_vs_detox_reference,YO_XH,uk,cross_language,488,54,0.5555555555555556,0.5706447187928669,
42,decoder,4,toxic_vs_detox_reference,am,am,within_language,244,54,0.9444444444444444,0.9958847736625515,
42,decoder,4,toxic_vs_detox_reference,ar,ar,within_language,244,54,0.7962962962962963,0.9355281207133059,
42,decoder,4,toxic_vs_detox_reference,de,de,within_language,244,54,0.9074074074074074,0.9423868312757201,
42,decoder,4,toxic_vs_detox_reference,en,en,within_language,244,54,0.9629629629629629,0.9862825788751715,
42,decoder,4,toxic_vs_detox_reference,es,es,within_language,244,54,0.8888888888888888,0.9506172839506172,
42,decoder,4,toxic_vs_detox_reference,hi,hi,within_language,244,54,0.9444444444444444,0.9931412894375857,
42,decoder,4,toxic_vs_detox_reference,uk,uk,within_language,244,54,0.8148148148148148,0.9094650205761317,
42,decoder,4,toxic_vs_detox_reference,xh,xh,within_language,244,54,1.0,1.0,
42,decoder,4,toxic_vs_detox_reference,yo,yo,within_language,244,54,1.0,1.0,
42,decoder,4,toxic_vs_detox_reference,EN_DE_ES,yo,cross_language,732,54,0.5740740740740741,1.0,
42,decoder,4,toxic_vs_detox_reference,EN_DE_ES,xh,cross_language,732,54,0.5740740740740741,1.0,
42,decoder,4,toxic_vs_detox_reference,all_non_african,yo,cross_language,1708,54,0.6666666666666666,1.0,
42,decoder,4,toxic_vs_detox_reference,all_non_african,xh,cross_language,1708,54,0.6296296296296297,0.9986282578875172,
42,decoder,4,toxic_vs_detox_reference,YO_XH,am,cross_language,488,54,0.9259259259259259,0.9615912208504801,
42,decoder,4,toxic_vs_detox_reference,YO_XH,ar,cross_language,488,54,0.7037037037037037,0.7832647462277093,
42,decoder,4,toxic_vs_detox_reference,YO_XH,de,cross_language,488,54,0.7592592592592593,0.8463648834019204,
42,decoder,4,toxic_vs_detox_reference,YO_XH,en,cross_language,488,54,0.7222222222222222,0.8888888888888888,
42,decoder,4,toxic_vs_detox_reference,YO_XH,es,cross_language,488,54,0.7592592592592593,0.8436213991769548,
42,decoder,4,toxic_vs_detox_reference,YO_XH,hi,cross_language,488,54,0.8333333333333334,0.8477366255144032,
42,decoder,4,toxic_vs_detox_reference,YO_XH,uk,cross_language,488,54,0.7592592592592593,0.7997256515775034,
42,decoder,6,toxic_vs_detox_reference,am,am,within_language,244,54,0.9444444444444444,0.9931412894375857,
42,decoder,6,toxic_vs_detox_reference,ar,ar,within_language,244,54,0.8703703703703703,0.9492455418381345,
