seed,language,control_dev_accuracy_length_only,mean_toxic_chars,mean_reference_chars,length_ratio_reference_over_toxic
42,am,0.5740740740740741,71.75409836065573,56.92622950819672,0.793351610692255
42,ar,0.5,61.36065573770492,55.9344262295082,0.9115682607534064
42,de,0.5370370370370371,105.05737704918033,97.80327868852459,0.9309510805960832
42,en,0.5925925925925926,59.959016393442624,54.532786885245905,0.909501025290499
42,es,0.5925925925925926,68.06557377049181,63.59836065573771,0.9343689788053949
42,hi,0.5740740740740741,54.368852459016395,49.442622950819676,0.9093924317804916
42,uk,0.5185185185185185,54.26229508196721,51.64754098360656,0.9518126888217524
42,xh,0.7222222222222222,31.237704918032787,38.704918032786885,1.2390448701128314
42,yo,0.7037037037037037,23.25409836065574,33.13934426229508,1.4250969333803314
1337,am,0.5740740740740741,71.75409836065573,56.92622950819672,0.793351610692255
1337,ar,0.5,61.36065573770492,55.9344262295082,0.9115682607534064
1337,de,0.5370370370370371,105.05737704918033,97.80327868852459,0.9309510805960832
1337,en,0.5925925925925926,59.959016393442624,54.532786885245905,0.909501025290499
1337,es,0.5925925925925926,68.06557377049181,63.59836065573771,0.9343689788053949
1337,hi,0.5740740740740741,54.368852459016395,49.442622950819676,0.9093924317804916
1337,uk,0.5185185185185185,54.26229508196721,51.64754098360656,0.9518126888217524
1337,xh,0.7222222222222222,31.237704918032787,38.704918032786885,1.2390448701128314
1337,yo,0.7037037037037037,23.25409836065574,33.13934426229508,1.4250969333803314
2024,am,0.5740740740740741,71.75409836065573,56.92622950819672,0.793351610692255
2024,ar,0.5,61.36065573770492,55.9344262295082,0.9115682607534064
2024,de,0.5370370370370371,105.05737704918033,97.80327868852459,0.9309510805960832
2024,en,0.5925925925925926,59.959016393442624,54.532786885245905,0.909501025290499
2024,es,0.5925925925925926,68.06557377049181,63.59836065573771,0.9343689788053949
2024,hi,0.5740740740740741,54.368852459016395,49.442622950819676,0.9093924317804916
2024,uk,0.5185185185185185,54.26229508196721,51.64754098360656,0.9518126888217524
2024,xh,0.7222222222222222,31.237704918032787,38.704918032786885,1.2390448701128314
2024,yo,0.7037037037037037,23.25409836065574,33.13934426229508,1.4250969333803314
