seed,side,layer,contrast,language,split,standardized_cosine_mean,standardized_cosine_std,evidence_type
42,decoder,8,toxic_vs_detox_reference,de,dev,0.9385548830032349,0.08069473505020142,associative (correlational; no causal claim)
42,decoder,8,toxic_vs_detox_reference,en,dev,0.8871287107467651,0.10166201740503311,associative (correlational; no causal claim)
42,decoder,8,toxic_vs_detox_reference,es,dev,0.893997311592102,0.08290347456932068,associative (correlational; no causal claim)
42,decoder,8,toxic_vs_detox_reference,hi,dev,0.8597452640533447,0.1273583173751831,associative (correlational; no causal claim)
42,decoder,8,toxic_vs_detox_reference,uk,dev,0.9221356511116028,0.07439615577459335,associative (correlational; no causal claim)
42,decoder,8,toxic_vs_detox_reference,xh,dev,0.6835987567901611,0.10314267873764038,associative (correlational; no causal claim)
42,decoder,8,toxic_vs_detox_reference,yo,dev,0.7482592463493347,0.08995987474918365,associative (correlational; no causal claim)
1337,encoder,4,toxic_vs_detox_reference,am,dev,0.535774827003479,0.40640679001808167,associative (correlational; no causal claim)
1337,encoder,4,toxic_vs_detox_reference,ar,dev,0.7219566702842712,0.30593258142471313,associative (correlational; no causal claim)
1337,encoder,4,toxic_vs_detox_reference,de,dev,0.7805925011634827,0.38576269149780273,associative (correlational; no causal claim)
1337,encoder,4,toxic_vs_detox_reference,en,dev,0.405577152967453,0.5989155173301697,associative (correlational; no causal claim)
1337,encoder,4,toxic_vs_detox_reference,es,dev,0.6300051212310791,0.4356716573238373,associative (correlational; no causal claim)
1337,encoder,4,toxic_vs_detox_reference,hi,dev,0.754050076007843,0.35627105832099915,associative (correlational; no causal claim)
1337,encoder,4,toxic_vs_detox_reference,uk,dev,0.7546330690383911,0.25515875220298767,associative (correlational; no causal claim)
1337,encoder,4,toxic_vs_detox_reference,xh,dev,0.34044739603996277,0.5310595631599426,associative (correlational; no causal claim)
1337,encoder,4,toxic_vs_detox_reference,yo,dev,0.7112931609153748,0.37361079454421997,associative (correlational; no causal claim)
1337,encoder,6,toxic_vs_detox_reference,am,dev,0.5725578665733337,0.360816091299057,associative (correlational; no causal claim)
1337,encoder,6,toxic_vs_detox_reference,ar,dev,0.7372264266014099,0.27685412764549255,associative (correlational; no causal claim)
1337,encoder,6,toxic_vs_detox_reference,de,dev,0.8009948134422302,0.3542883098125458,associative (correlational; no causal claim)
1337,encoder,6,toxic_vs_detox_reference,en,dev,0.4432925879955292,0.5449072122573853,associative (correlational; no causal claim)
1337,encoder,6,toxic_vs_detox_reference,es,dev,0.6529585719108582,0.40668243169784546,associative (correlational; no causal claim)
1337,encoder,6,toxic_vs_detox_reference,hi,dev,0.7564625144004822,0.3269222676753998,associative (correlational; no causal claim)
1337,encoder,6,toxic_vs_detox_reference,uk,dev,0.7704659700393677,0.22704249620437622,associative (correlational; no causal claim)
1337,encoder,6,toxic_vs_detox_reference,xh,dev,0.3880006670951843,0.4670763313770294,associative (correlational; no causal claim)
1337,encoder,6,toxic_vs_detox_reference,yo,dev,0.7144712805747986,0.338401734828949,associative (correlational; no causal claim)
1337,encoder,8,toxic_vs_detox_reference,am,dev,0.6295360326766968,0.29563871026039124,associative (correlational; no causal claim)
1337,encoder,8,toxic_vs_detox_reference,ar,dev,0.7706695795059204,0.23159515857696533,associative (correlational; no causal claim)
1337,encoder,8,toxic_vs_detox_reference,de,dev,0.8279892206192017,0.31659606099128723,associative (correlational; no causal claim)
1337,encoder,8,toxic_vs_detox_reference,en,dev,0.5146192908287048,0.4747503399848938,associative (correlational; no causal claim)
1337,encoder,8,toxic_vs_detox_reference,es,dev,0.6963889002799988,0.3531849980354309,associative (correlational; no causal claim)
1337,encoder,8,toxic_vs_detox_reference,hi,dev,0.7795345783233643,0.2739657759666443,associative (correlational; no causal claim)
