probe,side,layer,pooling,dev_accuracy_mean,dev_accuracy_std,dev_auc_mean,control_mean,gain_mean,n_seeds
condition:toxic_vs_detox_reference,decoder,4,pooled_mean_all,0.9176954732510288,0.014403292181069949,0.9699684442863837,0.5534979423868313,0.3641975308641976,3
condition:toxic_vs_detox_reference,decoder,4,pooled_mean_content,0.9190672153635117,0.012402703237328635,0.9698160284961078,0.5534979423868313,0.36556927297668046,3
condition:toxic_vs_detox_reference,decoder,6,pooled_mean_all,0.9327846364883402,0.0011879635168510444,0.9735756179895793,0.5534979423868313,0.37928669410150895,3
condition:toxic_vs_detox_reference,decoder,6,pooled_mean_content,0.930727023319616,0.007226099967663052,0.9734401372871119,0.5534979423868313,0.37722908093278457,3
condition:toxic_vs_detox_reference,decoder,8,pooled_mean_all,0.897119341563786,0.005443932738816079,0.9596775559281275,0.5534979423868313,0.3436213991769548,3
condition:toxic_vs_detox_reference,decoder,8,pooled_mean_content,0.8950617283950617,0.004115226337448513,0.9607783366356754,0.5534979423868313,0.3415637860082305,3
condition:toxic_vs_detox_reference,encoder,4,pooled_mean_all,0.7373113854595337,0.0011879635168511244,0.8091302703404516,0.5534979423868313,0.18381344307270234,3
condition:toxic_vs_detox_reference,encoder,4,pooled_mean_content,0.7352537722908092,0.008315744617957605,0.8119979452093459,0.5534979423868313,0.18175582990397807,3
condition:toxic_vs_detox_reference,encoder,6,pooled_mean_all,0.7640603566529492,0.008315744617957558,0.8307394423840089,0.5534979423868313,0.21056241426611802,3
condition:toxic_vs_detox_reference,encoder,6,pooled_mean_content,0.7592592592592592,0.007418829784905328,0.8339571090676104,0.5534979423868313,0.20576131687242802,3
condition:toxic_vs_detox_reference,encoder,8,pooled_mean_all,0.752400548696845,0.0031430560322056283,0.8252806990804248,0.5534979423868313,0.19890260631001375,3
condition:toxic_vs_detox_reference,encoder,8,pooled_mean_content,0.7462277091906722,0.0023759270337021608,0.820928381513658,0.5534979423868313,0.19272976680384094,3
language_identity,decoder,4,pooled_mean_all,1.0,0.0,,0.42386831275720166,0.5761316872427984,3
language_identity,decoder,4,pooled_mean_content,1.0,0.0,,0.42386831275720166,0.5761316872427984,3
language_identity,decoder,6,pooled_mean_all,1.0,0.0,,0.42386831275720166,0.5761316872427984,3
language_identity,decoder,6,pooled_mean_content,1.0,0.0,,0.42386831275720166,0.5761316872427984,3
language_identity,decoder,8,pooled_mean_all,1.0,0.0,,0.42386831275720166,0.5761316872427984,3
language_identity,decoder,8,pooled_mean_content,1.0,0.0,,0.42386831275720166,0.5761316872427984,3
language_identity,encoder,4,pooled_mean_all,1.0,0.0,,0.42386831275720166,0.5761316872427984,3
language_identity,encoder,4,pooled_mean_content,1.0,0.0,,0.42386831275720166,0.5761316872427984,3
language_identity,encoder,6,pooled_mean_all,1.0,0.0,,0.42386831275720166,0.5761316872427984,3
language_identity,encoder,6,pooled_mean_content,1.0,0.0,,0.42386831275720166,0.5761316872427984,3
language_identity,encoder,8,pooled_mean_all,1.0,0.0,,0.42386831275720166,0.5761316872427984,3
language_identity,encoder,8,pooled_mean_content,1.0,0.0,,0.42386831275720166,0.5761316872427984,3
