seed,side,layer,pooling,probe,scope,status,n_train,n_dev,n_dims_used,C,train_accuracy,dev_accuracy,dev_auc,control_dev_accuracy,control_dev_auc,gain_over_control,accuracy_by_behaviour,note
42,decoder,6,pooled_mean_all,condition:toxic_vs_detox_reference,multilingual_pooled,ok,2196.0,486.0,768.0,0.1,0.9836065573770492,0.9320987654320988,0.9731748209114465,0.5534979423868313,0.5690274179071618,0.37860082304526754,"{""copy_input"": 0.9047619047619048, ""generic_template"": 1.0, ""ordinary_rewrite"": 0.9360902255639098}",
42,decoder,6,pooled_mean_all,condition:toxic_vs_generated,multilingual_pooled,unavailable,,,,,,,,,,,,generated condition absent for train (Stage 4 did not generate on train)
42,decoder,6,pooled_mean_all,language_identity,multilingual_pooled,ok,1098.0,243.0,768.0,0.01,1.0,1.0,,0.42386831275720166,,0.5761316872427984,,
42,decoder,6,pooled_mean_content,condition:toxic_vs_detox_reference,multilingual_pooled,ok,2196.0,486.0,768.0,0.1,0.9831511839708561,0.9300411522633745,0.972649833189385,0.5534979423868313,0.5690274179071618,0.3765432098765432,"{""copy_input"": 0.9107142857142857, ""generic_template"": 1.0, ""ordinary_rewrite"": 0.9285714285714286}",
42,decoder,6,pooled_mean_content,condition:toxic_vs_generated,multilingual_pooled,unavailable,,,,,,,,,,,,generated condition absent for train (Stage 4 did not generate on train)
42,decoder,6,pooled_mean_content,language_identity,multilingual_pooled,ok,1098.0,243.0,768.0,0.01,1.0,1.0,,0.42386831275720166,,0.5761316872427984,,
42,decoder,8,pooled_mean_all,condition:toxic_vs_detox_reference,multilingual_pooled,ok,2196.0,486.0,768.0,0.1,0.9704007285974499,0.9032921810699589,0.9624718454165184,0.5534979423868313,0.5690274179071618,0.34979423868312765,"{""copy_input"": 0.8809523809523809, ""generic_template"": 1.0, ""ordinary_rewrite"": 0.8984962406015038}",
42,decoder,8,pooled_mean_all,condition:toxic_vs_generated,multilingual_pooled,unavailable,,,,,,,,,,,,generated condition absent for train (Stage 4 did not generate on train)
42,decoder,8,pooled_mean_all,language_identity,multilingual_pooled,ok,1098.0,243.0,768.0,0.01,1.0,1.0,,0.42386831275720166,,0.5761316872427984,,
42,decoder,8,pooled_mean_content,condition:toxic_vs_detox_reference,multilingual_pooled,ok,2196.0,486.0,768.0,0.1,0.9704007285974499,0.8991769547325102,0.9635218208606411,0.5534979423868313,0.5690274179071618,0.345679012345679,"{""copy_input"": 0.8630952380952381, ""generic_template"": 1.0, ""ordinary_rewrite"": 0.9022556390977443}",
42,decoder,8,pooled_mean_content,condition:toxic_vs_generated,multilingual_pooled,unavailable,,,,,,,,,,,,generated condition absent for train (Stage 4 did not generate on train)
42,decoder,8,pooled_mean_content,language_identity,multilingual_pooled,ok,1098.0,243.0,768.0,0.01,1.0,1.0,,0.42386831275720166,,0.5761316872427984,,
1337,encoder,4,pooled_mean_all,condition:toxic_vs_detox_reference,multilingual_pooled,ok,2196.0,486.0,768.0,0.1,0.8178506375227687,0.7366255144032922,0.8148825551660485,0.5534979423868313,0.5690274179071618,0.1831275720164609,"{""copy_input"": 0.6842105263157895, ""generic_template"": 0.7291666666666666, ""ordinary_rewrite"": 0.7657342657342657}",
1337,encoder,4,pooled_mean_all,condition:toxic_vs_generated,multilingual_pooled,unavailable,,,,,,,,,,,,generated condition absent for train (Stage 4 did not generate on train)
1337,encoder,4,pooled_mean_all,language_identity,multilingual_pooled,ok,1098.0,243.0,768.0,0.01,0.9990892531876139,1.0,,0.42386831275720166,,0.5761316872427984,,
1337,encoder,4,pooled_mean_content,condition:toxic_vs_detox_reference,multilingual_pooled,ok,2196.0,486.0,768.0,0.1,0.8155737704918032,0.7366255144032922,0.8145607884976884,0.5534979423868313,0.5690274179071618,0.1831275720164609,"{""copy_input"": 0.6842105263157895, ""generic_template"": 0.7083333333333334, ""ordinary_rewrite"": 0.7692307692307693}",
1337,encoder,4,pooled_mean_content,condition:toxic_vs_generated,multilingual_pooled,unavailable,,,,,,,,,,,,generated condition absent for train (Stage 4 did not generate on train)
1337,encoder,4,pooled_mean_content,language_identity,multilingual_pooled,ok,1098.0,243.0,768.0,0.01,0.9990892531876139,1.0,,0.42386831275720166,,0.5761316872427984,,
1337,encoder,6,pooled_mean_all,condition:toxic_vs_detox_reference,multilingual_pooled,ok,2196.0,486.0,768.0,0.01,0.7836976320582878,0.7736625514403292,0.8364239868583719,0.5534979423868313,0.5690274179071618,0.220164609053498,"{""copy_input"": 0.7631578947368421, ""generic_template"": 0.7291666666666666, ""ordinary_rewrite"": 0.7867132867132867}",
1337,encoder,6,pooled_mean_all,condition:toxic_vs_generated,multilingual_pooled,unavailable,,,,,,,,,,,,generated condition absent for train (Stage 4 did not generate on train)
1337,encoder,6,pooled_mean_all,language_identity,multilingual_pooled,ok,1098.0,243.0,768.0,0.01,1.0,1.0,,0.42386831275720166,,0.5761316872427984,,
1337,encoder,6,pooled_mean_content,condition:toxic_vs_detox_reference,multilingual_pooled,ok,2196.0,486.0,768.0,0.1,0.8351548269581056,0.7674897119341564,0.8409287202154143,0.5534979423868313,0.5690274179071618,0.21399176954732513,"{""copy_input"": 0.7302631578947368, ""generic_template"": 0.75, ""ordinary_rewrite"": 0.7902097902097902}",
1337,encoder,6,pooled_mean_content,condition:toxic_vs_generated,multilingual_pooled,unavailable,,,,,,,,,,,,generated condition absent for train (Stage 4 did not generate on train)
1337,encoder,6,pooled_mean_content,language_identity,multilingual_pooled,ok,1098.0,243.0,768.0,0.01,0.9990892531876139,1.0,,0.42386831275720166,,0.5761316872427984,,
1337,encoder,8,pooled_mean_all,condition:toxic_vs_detox_reference,multilingual_pooled,ok,2196.0,486.0,768.0,0.1,0.8465391621129326,0.7551440329218106,0.8310555640230994,0.5534979423868313,0.5690274179071618,0.2016460905349794,"{""copy_input"": 0.7105263157894737, ""generic_template"": 0.7708333333333334, ""ordinary_rewrite"": 0.7762237762237763}",
1337,encoder,8,pooled_mean_all,condition:toxic_vs_generated,multilingual_pooled,unavailable,,,,,,,,,,,,generated condition absent for train (Stage 4 did not generate on train)
1337,encoder,8,pooled_mean_all,language_identity,multilingual_pooled,ok,1098.0,243.0,768.0,0.01,1.0,1.0,,0.42386831275720166,,0.5761316872427984,,
1337,encoder,8,pooled_mean_content,condition:toxic_vs_detox_reference,multilingual_pooled,ok,2196.0,486.0,768.0,0.1,0.8479052823315119,0.7489711934156379,0.8247218411827465,0.5534979423868313,0.5690274179071618,0.19547325102880664,"{""copy_input"": 0.6842105263157895, ""generic_template"": 0.75, ""ordinary_rewrite"": 0.7832167832167832}",
1337,encoder,8,pooled_mean_content,condition:toxic_vs_generated,multilingual_pooled,unavailable,,,,,,,,,,,,generated condition absent for train (Stage 4 did not generate on train)
1337,encoder,8,pooled_mean_content,language_identity,multilingual_pooled,ok,1098.0,243.0,768.0,0.01,1.0,1.0,,0.42386831275720166,,0.5761316872427984,,
1337,decoder,4,pooled_mean_all,condition:toxic_vs_detox_reference,multilingual_pooled,ok,2196.0,486.0,768.0,0.01,0.9576502732240437,0.9032921810699589,0.9686870226422124,0.5534979423868313,0.5690274179071618,0.34979423868312765,"{""copy_input"": 0.8947368421052632, ""generic_template"": 0.9583333333333334, ""ordinary_rewrite"": 0.8986013986013986}",
1337,decoder,4,pooled_mean_all,condition:toxic_vs_generated,multilingual_pooled,unavailable,,,,,,,,,,,,generated condition absent for train (Stage 4 did not generate on train)
1337,decoder,4,pooled_mean_all,language_identity,multilingual_pooled,ok,1098.0,243.0,768.0,0.01,1.0,1.0,,0.42386831275720166,,0.5761316872427984,,
1337,decoder,4,pooled_mean_content,condition:toxic_vs_detox_reference,multilingual_pooled,ok,2196.0,486.0,768.0,0.01,0.9585610200364298,0.9074074074074074,0.9694491015935918,0.5534979423868313,0.5690274179071618,0.3539094650205762,"{""copy_input"": 0.9013157894736842, ""generic_template"": 0.9583333333333334, ""ordinary_rewrite"": 0.9020979020979021}",
1337,decoder,4,pooled_mean_content,condition:toxic_vs_generated,multilingual_pooled,unavailable,,,,,,,,,,,,generated condition absent for train (Stage 4 did not generate on train)
1337,decoder,4,pooled_mean_content,language_identity,multilingual_pooled,ok,1098.0,243.0,768.0,0.01,1.0,1.0,,0.42386831275720166,,0.5761316872427984,,
1337,decoder,6,pooled_mean_all,condition:toxic_vs_detox_reference,multilingual_pooled,ok,2196.0,486.0,768.0,0.01,0.9494535519125683,0.934156378600823,0.9756134735558604,0.5534979423868313,0.5690274179071618,0.38065843621399176,"{""copy_input"": 0.9210526315789473, ""generic_template"": 0.9791666666666666, ""ordinary_rewrite"": 0.9335664335664335}",
1337,decoder,6,pooled_mean_all,condition:toxic_vs_generated,multilingual_pooled,unavailable,,,,,,,,,,,,generated condition absent for train (Stage 4 did not generate on train)
1337,decoder,6,pooled_mean_all,language_identity,multilingual_pooled,ok,1098.0,243.0,768.0,0.01,1.0,1.0,,0.42386831275720166,,0.5761316872427984,,
1337,decoder,6,pooled_mean_content,condition:toxic_vs_detox_reference,multilingual_pooled,ok,2196.0,486.0,768.0,0.01,0.9521857923497268,0.9382716049382716,0.9764432928584734,0.5534979423868313,0.5690274179071618,0.3847736625514403,"{""copy_input"": 0.9210526315789473, ""generic_template"": 0.9791666666666666, ""ordinary_rewrite"": 0.9405594405594405}",
1337,decoder,6,pooled_mean_content,condition:toxic_vs_generated,multilingual_pooled,unavailable,,,,,,,,,,,,generated condition absent for train (Stage 4 did not generate on train)
1337,decoder,6,pooled_mean_content,language_identity,multilingual_pooled,ok,1098.0,243.0,768.0,0.01,1.0,1.0,,0.42386831275720166,,0.5761316872427984,,
1337,decoder,8,pooled_mean_all,condition:toxic_vs_detox_reference,multilingual_pooled,ok,2196.0,486.0,768.0,0.01,0.9280510018214936,0.8950617283950617,0.9586614506596216,0.5534979423868313,0.5690274179071618,0.34156378600823045,"{""copy_input"": 0.875, ""generic_template"": 0.9791666666666666, ""ordinary_rewrite"": 0.8916083916083916}",
1337,decoder,8,pooled_mean_all,condition:toxic_vs_generated,multilingual_pooled,unavailable,,,,,,,,,,,,generated condition absent for train (Stage 4 did not generate on train)
1337,decoder,8,pooled_mean_all,language_identity,multilingual_pooled,ok,1098.0,243.0,768.0,0.01,1.0,1.0,,0.42386831275720166,,0.5761316872427984,,
1337,decoder,8,pooled_mean_content,condition:toxic_vs_detox_reference,multilingual_pooled,ok,2196.0,486.0,768.0,0.01,0.9257741347905283,0.8950617283950617,0.9605920506697826,0.5534979423868313,0.5690274179071618,0.34156378600823045,"{""copy_input"": 0.875, ""generic_template"": 0.9791666666666666, ""ordinary_rewrite"": 0.8916083916083916}",
1337,decoder,8,pooled_mean_content,condition:toxic_vs_generated,multilingual_pooled,unavailable,,,,,,,,,,,,generated condition absent for train (Stage 4 did not generate on train)
1337,decoder,8,pooled_mean_content,language_identity,multilingual_pooled,ok,1098.0,243.0,768.0,0.01,1.0,1.0,,0.42386831275720166,,0.5761316872427984,,
