key,direction_type,scope,source_languages,n_source_languages,n_rows_toxic,n_rows_reference,n_rows_total,seed,side,layer,pooling,space,d_model,raw_norm,normalization,language_balanced,underdetermined,is_primary,arm,norm_stats_file,injection_note,matched_to
probe|lang_en|encoder|L4|pooled_mean_all|seed42,probe,lang_en,en,1,122,122,244,42,encoder,4,pooled_mean_all,pooled_standardized,768,2.093590021133423,L2 unit norm; pre-normalisation norm recorded as raw_norm,True,True,True,primary,results/activations/norm_stats/seed42_encoder_layer04_toxic.pt,add alpha * vector * sd to the raw activation,
random|lang_en|encoder|L4|pooled_mean_all|seed42|match_probe,random,lang_en,en,1,122,122,244,42,encoder,4,pooled_mean_all,pooled_standardized,768,1.0,L2 unit norm; pre-normalisation norm recorded as raw_norm,True,False,False,random_control,results/activations/norm_stats/seed42_encoder_layer04_toxic.pt,add alpha * vector * sd to the raw activation,probe|lang_en|encoder|L4|pooled_mean_all|seed42
mean_diff|lang_es|encoder|L4|pooled_mean_all|seed42,mean_diff,lang_es,es,1,122,122,244,42,encoder,4,pooled_mean_all,pooled_standardized,768,5.8110127449035645,L2 unit norm; pre-normalisation norm recorded as raw_norm,True,False,True,primary,results/activations/norm_stats/seed42_encoder_layer04_toxic.pt,add alpha * vector * sd to the raw activation,
random|lang_es|encoder|L4|pooled_mean_all|seed42|match_mean_diff,random,lang_es,es,1,122,122,244,42,encoder,4,pooled_mean_all,pooled_standardized,768,1.0,L2 unit norm; pre-normalisation norm recorded as raw_norm,True,False,False,random_control,results/activations/norm_stats/seed42_encoder_layer04_toxic.pt,add alpha * vector * sd to the raw activation,mean_diff|lang_es|encoder|L4|pooled_mean_all|seed42
probe|lang_es|encoder|L4|pooled_mean_all|seed42,probe,lang_es,es,1,122,122,244,42,encoder,4,pooled_mean_all,pooled_standardized,768,1.9995958805084229,L2 unit norm; pre-normalisation norm recorded as raw_norm,True,True,True,primary,results/activations/norm_stats/seed42_encoder_layer04_toxic.pt,add alpha * vector * sd to the raw activation,
random|lang_es|encoder|L4|pooled_mean_all|seed42|match_probe,random,lang_es,es,1,122,122,244,42,encoder,4,pooled_mean_all,pooled_standardized,768,1.0,L2 unit norm; pre-normalisation norm recorded as raw_norm,True,False,False,random_control,results/activations/norm_stats/seed42_encoder_layer04_toxic.pt,add alpha * vector * sd to the raw activation,probe|lang_es|encoder|L4|pooled_mean_all|seed42
mean_diff|lang_hi|encoder|L4|pooled_mean_all|seed42,mean_diff,lang_hi,hi,1,122,122,244,42,encoder,4,pooled_mean_all,pooled_standardized,768,4.976018905639648,L2 unit norm; pre-normalisation norm recorded as raw_norm,True,False,True,primary,results/activations/norm_stats/seed42_encoder_layer04_toxic.pt,add alpha * vector * sd to the raw activation,
random|lang_hi|encoder|L4|pooled_mean_all|seed42|match_mean_diff,random,lang_hi,hi,1,122,122,244,42,encoder,4,pooled_mean_all,pooled_standardized,768,1.0,L2 unit norm; pre-normalisation norm recorded as raw_norm,True,False,False,random_control,results/activations/norm_stats/seed42_encoder_layer04_toxic.pt,add alpha * vector * sd to the raw activation,mean_diff|lang_hi|encoder|L4|pooled_mean_all|seed42
probe|lang_hi|encoder|L4|pooled_mean_all|seed42,probe,lang_hi,hi,1,122,122,244,42,encoder,4,pooled_mean_all,pooled_standardized,768,2.018960952758789,L2 unit norm; pre-normalisation norm recorded as raw_norm,True,True,True,primary,results/activations/norm_stats/seed42_encoder_layer04_toxic.pt,add alpha * vector * sd to the raw activation,
random|lang_hi|encoder|L4|pooled_mean_all|seed42|match_probe,random,lang_hi,hi,1,122,122,244,42,encoder,4,pooled_mean_all,pooled_standardized,768,1.0,L2 unit norm; pre-normalisation norm recorded as raw_norm,True,False,False,random_control,results/activations/norm_stats/seed42_encoder_layer04_toxic.pt,add alpha * vector * sd to the raw activation,probe|lang_hi|encoder|L4|pooled_mean_all|seed42
mean_diff|lang_uk|encoder|L4|pooled_mean_all|seed42,mean_diff,lang_uk,uk,1,122,122,244,42,encoder,4,pooled_mean_all,pooled_standardized,768,5.27923583984375,L2 unit norm; pre-normalisation norm recorded as raw_norm,True,False,True,primary,results/activations/norm_stats/seed42_encoder_layer04_toxic.pt,add alpha * vector * sd to the raw activation,
random|lang_uk|encoder|L4|pooled_mean_all|seed42|match_mean_diff,random,lang_uk,uk,1,122,122,244,42,encoder,4,pooled_mean_all,pooled_standardized,768,1.0,L2 unit norm; pre-normalisation norm recorded as raw_norm,True,False,False,random_control,results/activations/norm_stats/seed42_encoder_layer04_toxic.pt,add alpha * vector * sd to the raw activation,mean_diff|lang_uk|encoder|L4|pooled_mean_all|seed42
probe|lang_uk|encoder|L4|pooled_mean_all|seed42,probe,lang_uk,uk,1,122,122,244,42,encoder,4,pooled_mean_all,pooled_standardized,768,2.0280463695526123,L2 unit norm; pre-normalisation norm recorded as raw_norm,True,True,True,primary,results/activations/norm_stats/seed42_encoder_layer04_toxic.pt,add alpha * vector * sd to the raw activation,
random|lang_uk|encoder|L4|pooled_mean_all|seed42|match_probe,random,lang_uk,uk,1,122,122,244,42,encoder,4,pooled_mean_all,pooled_standardized,768,1.0,L2 unit norm; pre-normalisation norm recorded as raw_norm,True,False,False,random_control,results/activations/norm_stats/seed42_encoder_layer04_toxic.pt,add alpha * vector * sd to the raw activation,probe|lang_uk|encoder|L4|pooled_mean_all|seed42
mean_diff|lang_xh|encoder|L4|pooled_mean_all|seed42,mean_diff,lang_xh,xh,1,122,122,244,42,encoder,4,pooled_mean_all,pooled_standardized,768,9.244051933288574,L2 unit norm; pre-normalisation norm recorded as raw_norm,True,False,True,primary,results/activations/norm_stats/seed42_encoder_layer04_toxic.pt,add alpha * vector * sd to the raw activation,
random|lang_xh|encoder|L4|pooled_mean_all|seed42|match_mean_diff,random,lang_xh,xh,1,122,122,244,42,encoder,4,pooled_mean_all,pooled_standardized,768,1.0,L2 unit norm; pre-normalisation norm recorded as raw_norm,True,False,False,random_control,results/activations/norm_stats/seed42_encoder_layer04_toxic.pt,add alpha * vector * sd to the raw activation,mean_diff|lang_xh|encoder|L4|pooled_mean_all|seed42
probe|lang_xh|encoder|L4|pooled_mean_all|seed42,probe,lang_xh,xh,1,122,122,244,42,encoder,4,pooled_mean_all,pooled_standardized,768,2.0435678958892822,L2 unit norm; pre-normalisation norm recorded as raw_norm,True,True,True,primary,results/activations/norm_stats/seed42_encoder_layer04_toxic.pt,add alpha * vector * sd to the raw activation,
random|lang_xh|encoder|L4|pooled_mean_all|seed42|match_probe,random,lang_xh,xh,1,122,122,244,42,encoder,4,pooled_mean_all,pooled_standardized,768,1.0,L2 unit norm; pre-normalisation norm recorded as raw_norm,True,False,False,random_control,results/activations/norm_stats/seed42_encoder_layer04_toxic.pt,add alpha * vector * sd to the raw activation,probe|lang_xh|encoder|L4|pooled_mean_all|seed42
