scope,side,layer,pooling,seed,cos_meandiff_probe
lang_de,decoder,8,pooled_mean_all,2024,0.6996284127235413
lang_de,decoder,8,pooled_mean_content,42,0.7262929677963257
lang_de,decoder,8,pooled_mean_content,1337,0.7111914753913879
lang_de,decoder,8,pooled_mean_content,2024,0.7257563471794128
lang_de,encoder,4,pooled_mean_all,42,0.2957911789417267
lang_de,encoder,4,pooled_mean_all,1337,0.31276991963386536
lang_de,encoder,4,pooled_mean_all,2024,0.30496957898139954
lang_de,encoder,4,pooled_mean_content,42,0.7419476509094238
lang_de,encoder,4,pooled_mean_content,1337,0.744135856628418
lang_de,encoder,4,pooled_mean_content,2024,0.705573320388794
lang_de,encoder,6,pooled_mean_all,42,0.3831314146518707
lang_de,encoder,6,pooled_mean_all,1337,0.41179436445236206
lang_de,encoder,6,pooled_mean_all,2024,0.3918721079826355
lang_de,encoder,6,pooled_mean_content,42,0.7022585868835449
lang_de,encoder,6,pooled_mean_content,1337,0.7275923490524292
lang_de,encoder,6,pooled_mean_content,2024,0.6985602378845215
lang_de,encoder,8,pooled_mean_all,42,0.45874926447868347
lang_de,encoder,8,pooled_mean_all,1337,0.48239749670028687
lang_de,encoder,8,pooled_mean_all,2024,0.455651193857193
lang_de,encoder,8,pooled_mean_content,42,0.6763961911201477
lang_de,encoder,8,pooled_mean_content,1337,0.681018590927124
lang_de,encoder,8,pooled_mean_content,2024,0.6763734221458435
lang_en,decoder,4,pooled_mean_all,42,0.6457836627960205
lang_en,decoder,4,pooled_mean_all,1337,0.6554632186889648
lang_en,decoder,4,pooled_mean_all,2024,0.6682440042495728
lang_en,decoder,4,pooled_mean_content,42,0.6836007833480835
lang_en,decoder,4,pooled_mean_content,1337,0.6833599805831909
lang_en,decoder,4,pooled_mean_content,2024,0.7019867897033691
lang_en,decoder,6,pooled_mean_all,42,0.6226765513420105
lang_en,decoder,6,pooled_mean_all,1337,0.6155316829681396
lang_en,decoder,6,pooled_mean_all,2024,0.6091092824935913
lang_en,decoder,6,pooled_mean_content,42,0.6471726894378662
lang_en,decoder,6,pooled_mean_content,1337,0.6333765387535095
lang_en,decoder,6,pooled_mean_content,2024,0.6292611360549927
lang_en,decoder,8,pooled_mean_all,42,0.6332246661186218
lang_en,decoder,8,pooled_mean_all,1337,0.6427679657936096
lang_en,decoder,8,pooled_mean_all,2024,0.6486084461212158
lang_en,decoder,8,pooled_mean_content,42,0.6712666153907776
lang_en,decoder,8,pooled_mean_content,1337,0.674347460269928
lang_en,decoder,8,pooled_mean_content,2024,0.6830776333808899
lang_en,encoder,4,pooled_mean_all,42,0.13106223940849304
lang_en,encoder,4,pooled_mean_all,1337,0.1308637410402298
lang_en,encoder,4,pooled_mean_all,2024,0.13072092831134796
lang_en,encoder,4,pooled_mean_content,42,0.11778207868337631
lang_en,encoder,4,pooled_mean_content,1337,0.11465757340192795
lang_en,encoder,4,pooled_mean_content,2024,0.10934071242809296
lang_en,encoder,6,pooled_mean_all,42,0.17916932702064514
lang_en,encoder,6,pooled_mean_all,1337,0.1817065179347992
lang_en,encoder,6,pooled_mean_all,2024,0.18105153739452362
lang_en,encoder,6,pooled_mean_content,42,0.1601770669221878
lang_en,encoder,6,pooled_mean_content,1337,0.15867750346660614
lang_en,encoder,6,pooled_mean_content,2024,0.14715471863746643
lang_en,encoder,8,pooled_mean_all,42,0.23937943577766418
lang_en,encoder,8,pooled_mean_all,1337,0.23850096762180328
lang_en,encoder,8,pooled_mean_all,2024,0.24140921235084534
lang_en,encoder,8,pooled_mean_content,42,0.21630358695983887
lang_en,encoder,8,pooled_mean_content,1337,0.21682405471801758
lang_en,encoder,8,pooled_mean_content,2024,0.19116970896720886
lang_es,decoder,4,pooled_mean_all,42,0.628797173500061
lang_es,decoder,4,pooled_mean_all,1337,0.6659557223320007
lang_es,decoder,4,pooled_mean_all,2024,0.6895197629928589
lang_es,decoder,4,pooled_mean_content,42,0.6302153468132019
lang_es,decoder,4,pooled_mean_content,1337,0.6601622104644775
lang_es,decoder,4,pooled_mean_content,2024,0.681445837020874
lang_es,decoder,6,pooled_mean_all,42,0.5808457732200623
lang_es,decoder,6,pooled_mean_all,1337,0.6035732626914978
lang_es,decoder,6,pooled_mean_all,2024,0.5948189496994019
lang_es,decoder,6,pooled_mean_content,42,0.5877529978752136
lang_es,decoder,6,pooled_mean_content,1337,0.6087325811386108
lang_es,decoder,6,pooled_mean_content,2024,0.5986257791519165
lang_es,decoder,8,pooled_mean_all,42,0.6279442310333252
lang_es,decoder,8,pooled_mean_all,1337,0.6338847279548645
lang_es,decoder,8,pooled_mean_all,2024,0.6523460149765015
lang_es,decoder,8,pooled_mean_content,42,0.635665774345398
lang_es,decoder,8,pooled_mean_content,1337,0.6418583989143372
lang_es,decoder,8,pooled_mean_content,2024,0.6574199795722961
lang_es,encoder,4,pooled_mean_all,42,0.1937355399131775
lang_es,encoder,4,pooled_mean_all,1337,0.19124415516853333
lang_es,encoder,4,pooled_mean_all,2024,0.2155243307352066
lang_es,encoder,4,pooled_mean_content,42,0.3140595555305481
lang_es,encoder,4,pooled_mean_content,1337,0.34764403104782104
lang_es,encoder,4,pooled_mean_content,2024,0.40486449003219604
lang_es,encoder,6,pooled_mean_all,42,0.25684958696365356
lang_es,encoder,6,pooled_mean_all,1337,0.2630317211151123
lang_es,encoder,6,pooled_mean_all,2024,0.2777702212333679
lang_es,encoder,6,pooled_mean_content,42,0.3773213028907776
lang_es,encoder,6,pooled_mean_content,1337,0.41732725501060486
lang_es,encoder,6,pooled_mean_content,2024,0.4500297009944916
lang_es,encoder,8,pooled_mean_all,42,0.3215113878250122
lang_es,encoder,8,pooled_mean_all,1337,0.3258109390735626
lang_es,encoder,8,pooled_mean_all,2024,0.33043181896209717
lang_es,encoder,8,pooled_mean_content,42,0.4233751893043518
lang_es,encoder,8,pooled_mean_content,1337,0.4574771821498871
lang_es,encoder,8,pooled_mean_content,2024,0.48111891746520996
lang_hi,decoder,4,pooled_mean_all,42,0.703313946723938
lang_hi,decoder,4,pooled_mean_all,1337,0.7178523540496826
lang_hi,decoder,4,pooled_mean_all,2024,0.7542385458946228
