direction_type,side,layer,pooling,seed,lang_a,lang_b,cosine,pair_type
mean_diff,decoder,4,pooled_mean_all,1337,en,uk,0.7304812073707581,nonafrican-nonafrican
mean_diff,decoder,4,pooled_mean_all,1337,en,xh,0.35802751779556274,cross-group
mean_diff,decoder,4,pooled_mean_all,1337,en,yo,0.3076121211051941,cross-group
mean_diff,decoder,4,pooled_mean_all,1337,es,hi,0.8212906718254089,nonafrican-nonafrican
mean_diff,decoder,4,pooled_mean_all,1337,es,uk,0.8334223031997681,nonafrican-nonafrican
mean_diff,decoder,4,pooled_mean_all,1337,es,xh,0.4973464608192444,cross-group
mean_diff,decoder,4,pooled_mean_all,1337,es,yo,0.4649212062358856,cross-group
mean_diff,decoder,4,pooled_mean_all,1337,hi,uk,0.7801942825317383,nonafrican-nonafrican
mean_diff,decoder,4,pooled_mean_all,1337,hi,xh,0.5396335124969482,cross-group
mean_diff,decoder,4,pooled_mean_all,1337,hi,yo,0.5677740573883057,cross-group
mean_diff,decoder,4,pooled_mean_all,1337,uk,xh,0.40473490953445435,cross-group
mean_diff,decoder,4,pooled_mean_all,1337,uk,yo,0.40274691581726074,cross-group
mean_diff,decoder,4,pooled_mean_all,1337,xh,yo,0.7271120548248291,african-african
mean_diff,decoder,4,pooled_mean_all,2024,am,ar,0.7951266169548035,nonafrican-nonafrican
mean_diff,decoder,4,pooled_mean_all,2024,am,de,0.7964821457862854,nonafrican-nonafrican
mean_diff,decoder,4,pooled_mean_all,2024,am,en,0.6934289932250977,nonafrican-nonafrican
mean_diff,decoder,4,pooled_mean_all,2024,am,es,0.8372367024421692,nonafrican-nonafrican
mean_diff,decoder,4,pooled_mean_all,2024,am,hi,0.8687885403633118,nonafrican-nonafrican
mean_diff,decoder,4,pooled_mean_all,2024,am,uk,0.7618049383163452,nonafrican-nonafrican
mean_diff,decoder,4,pooled_mean_all,2024,am,xh,0.6002116203308105,cross-group
mean_diff,decoder,4,pooled_mean_all,2024,am,yo,0.6286617517471313,cross-group
mean_diff,decoder,4,pooled_mean_all,2024,ar,de,0.7830435037612915,nonafrican-nonafrican
mean_diff,decoder,4,pooled_mean_all,2024,ar,en,0.7420098781585693,nonafrican-nonafrican
mean_diff,decoder,4,pooled_mean_all,2024,ar,es,0.8377376794815063,nonafrican-nonafrican
mean_diff,decoder,4,pooled_mean_all,2024,ar,hi,0.7661199569702148,nonafrican-nonafrican
mean_diff,decoder,4,pooled_mean_all,2024,ar,uk,0.7739951610565186,nonafrican-nonafrican
mean_diff,decoder,4,pooled_mean_all,2024,ar,xh,0.47921299934387207,cross-group
mean_diff,decoder,4,pooled_mean_all,2024,ar,yo,0.4297967255115509,cross-group
mean_diff,decoder,4,pooled_mean_all,2024,de,en,0.7748363018035889,nonafrican-nonafrican
mean_diff,decoder,4,pooled_mean_all,2024,de,es,0.8593752980232239,nonafrican-nonafrican
