language,n_examples,sta,sim,fl,j,copy_rate,empty_rate,unique_output_rate,top_output_share,mean_output_chars
am,60,1.0,0.906012,0.4297636055155108,0.7785918832886056,0.18333333333333332,0.0,1.0,0.016666666666666666,63.11666666666667
ar,60,1.0,0.9112052,0.7990136571489656,0.9034062838475864,0.06666666666666667,0.0,1.0,0.016666666666666666,55.38333333333333
de,60,1.0,0.92795014,0.8017255295834319,0.9098919010666137,0.016666666666666666,0.0,1.0,0.016666666666666666,97.41666666666667
en,60,1.0,0.8067251,0.6644844707528323,0.823736517021377,0.0,0.0,1.0,0.016666666666666666,47.483333333333334
es,60,1.0,0.8360141,0.5859301168607927,0.8073147382632644,0.0,0.0,1.0,0.016666666666666666,65.2
hi,60,1.0,0.8673486,0.6958715409492874,0.8544067088251452,0.016666666666666666,0.0,1.0,0.016666666666666666,50.36666666666667
uk,60,1.0,0.8961127,0.7258168765907786,0.8739765163595579,0.0,0.0,1.0,0.016666666666666666,45.983333333333334
xh,68,1.0,0.5874684,0.3291566430564045,0.6388750137478316,0.058823529411764705,0.0,0.7794117647058824,0.058823529411764705,53.8235294117647
yo,65,1.0,0.5244787,0.3210673203869963,0.6151819920704302,0.015384615384615385,0.0,0.6923076923076923,0.09230769230769231,47.01538461538462
