language,sim_mean,sim_std,fl_mean,fl_std,j_mean,j_std,copy_rate_mean,copy_rate_std,unique_output_rate_mean,unique_output_rate_std
am,0.882126,0.035540,0.416835,0.018760,0.766320,0.018099,0.166667,0.049065,1.000000,0.000000
ar,0.897650,0.013562,0.778369,0.015515,0.892006,0.009459,0.038889,0.020787,1.000000,0.000000
de,0.931053,0.004021,0.804490,0.004708,0.911847,0.002901,0.005556,0.007857,1.000000,0.000000
en,0.806667,0.005197,0.662421,0.009617,0.823029,0.001521,0.000000,0.000000,1.000000,0.000000
es,0.835314,0.006499,0.592669,0.018132,0.809328,0.008117,0.016667,0.013608,1.000000,0.000000
hi,0.848994,0.014589,0.681330,0.010933,0.843441,0.008490,0.005556,0.007857,1.000000,0.000000
uk,0.887563,0.011128,0.723533,0.003429,0.870365,0.004849,0.000000,0.000000,1.000000,0.000000
xh,0.587329,0.053598,0.325387,0.031023,0.637572,0.028184,0.058824,0.024014,0.818627,0.027729
yo,0.514546,0.035038,0.298436,0.016777,0.604327,0.015202,0.010257,0.007253,0.712821,0.040380
