Model,Architecture,Corpus,Copy rate,SIM,FL,J score,Unique output rate,Top-output share,Notes
mT5 (historical),Encoder-decoder,175 pairs,0.49,0.94,0.61,0.85,0.42,0.18,Original baseline
mT5 v2 (400+),Encoder-decoder,400+ pairs,0.187,0.856,0.611,0.822,0.78,0.08,3-seed mean
mT0 (400+),Encoder-decoder,400+ pairs,0.156,0.845,0.610,0.818,0.82,0.07,3-seed mean
Llama-3-8B QLoRA,Decoder-only,553 examples,0.022,0.787,0.599,0.795,0.92,0.03,3-seed mean
Backtranslation,Encoder-decoder,-,0.05,0.75,0.55,0.70,0.92,0.04,Baseline
Duplicate baseline,-,-,1.00,1.00,1.00,1.00,0.00,1.00,Upper bound
Delete baseline,-,-,0.00,0.00,0.00,0.00,0.00,1.00,Lower bound
