Model,Architecture,Corpus,Copy rate,SIM,FL,J score,Notes
mT5 (historical),Encoder-decoder,175 pairs,0.50,0.82,0.58,0.78,Baseline
mT5 (400+),Encoder-decoder,400+ pairs,0.18,0.87,0.63,0.83,Main result
mT0 (400+),Encoder-decoder,400+ pairs,0.14,0.85,0.62,0.82,Replication
Llama-3-8B QLoRA,Decoder-only,400+ pairs,0.022,0.79,0.60,0.80,This work (3-seed mean)
Duplicate baseline,-,400+ pairs,1.00,1.00,1.00,1.00,Upper bound
Delete baseline,-,400+ pairs,0.00,0.00,0.00,0.00,Lower bound
Backtranslation,-,400+ pairs,0.05,0.75,0.55,0.70,Baseline
